conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Account Manager,"Category: Human Resource. Type: Internal/External. An individual responsible for the management of a collection of constituent relationships, typically focusing on constituent registration and service management.",Stakeholder,,,,,,,
,Accountant,"Category: Human Resource. Type: Internal. An individual who records, tracks, analyzes, and reports on the finances of the organization.",Stakeholder,,,,,,,
,Admissions Officer,"Category: Human Resource. Type: Internal/External. An individual responsible for the recording of a person to a school, college, university, health care facility.",Stakeholder,,,,,,,
,Agent,Category: Human Resource. Type: Internal/External. An individual who acts on behalf of the organization in support of its objectives.,Stakeholder,,,,,,,
,Applicant,Category: Constituent. Type: External. An individual who initiates a formal request for something.,Stakeholder,,,,,,,
,Application Evaluator,"Category: Human Resource. Type: Internal. An individual tasked with assessing, validating, and recommending the processing and handling of applications, with an intended goal of denying or approving said application.",Stakeholder,,,,,,,
,Application Processor,Category: Human Resource. Type: Internal. An individual tasked with processing and handling applications with an intended goal of denying or approving said application.,Stakeholder,,,,,,,
,Asset Maintainer,"Category: Human Resource. Type: Internal/External. An individual or organization that repairs, restores, cleans, operates, or otherwise keeps an asset ready for use.",Stakeholder,,,,,,,
,Asset Manager,Category: Human Resource. Type: Internal/External. An individual or organization that governs a set of assets.,Stakeholder,,,,,,,
,Asset Owner,"Category: Constituent, Partner. Type: External, Internal. An individual or organization that has title to an asset.",Stakeholder,,,,,,,
,Asset Request Evaluator,Category: Human Resource. Type: Internal/External. An individual or organization that assesses or approves a request for an asset.,Stakeholder,,,,,,,
,Asylum Seeker,"Category: Constituent. Type: External. An individual who is seeking international protection, including those with refugee status.",Stakeholder,,,,,,,
,Auditor,Category: Human Resource. Type: Internal. An individual authorized to review and verify the accuracy of financial records and ensure compliance with applicable laws.,Stakeholder,,,,,,,
,Authorized Representative,Category: Human Resource. Type: Internal/External. An individual who has the authority to establish a new agreement and ensure it complies with organizational policy.,Stakeholder,,,,,,,
,Bill Sponsor,"Category: Human Resource. Type: Internal. An individual, usually the first member of a legislative body to be listed among the numerous lawmakers, who introduces a bill for consideration.",Stakeholder,,,,,,,
,Billing/Collections Officer,"Category: Human Resource. Type: Internal. An individual responsible for collecting payment on bills, sometimes overdue, by informing debtors of their balance, as well as providing options by which the debtor may satisfy the debt.",Stakeholder,,,,,,,
,Board of Directors,"Category: Human Resource. Type: Internal/External. An elected group of officials that represent the interests of an organization, led by a chairperson.",Stakeholder,,,,,,,
,Border Crosser Sponsor,"Category: Human Resource. Type: Internal. An individual or organization that makes an official request for another individual to cross a national border, usually for the purpose of but not limited to, employment, personal, or tourism.",Stakeholder,,,,,,,
,Broker-Agent,"Category: Human Resource. Type: External. An individual employed by a broker to advise on, sell, and maintain information on insurance products.",Stakeholder,,,,,,,
,Broker-Dealer,Category: Partner. Type: External. An organization that buys and sells securities on its own agreement as a principal before selling the securities to constituents.,Stakeholder,,,,,,,
,Business Architect,"Category: Human Resource. Type: Internal. An individual responsible for representing holistic, multidimensional business views of: capability end-to-end value delivery, information and organizational structure, and the relationship among these business views and strategies, products, policies, initiatives, and stakeholders.",Stakeholder,,,,,,,
,Campaign Requester,"Category: Constituent, Human Resource. Type: External, Internal. An individual who initiates a campaign on behalf of the organization.",Stakeholder,,,,,,,
,Campaign Resource,Category: Human resource. Type: Internal. An individual or organization that supplies material or assistance to a campaign.,Stakeholder,,,,,,,
,Campaign Supplier,Category: Partner. Type: External. An individual or organization that supplies material or assistance to a campaign.,Stakeholder,,,,,,,
,Campaign Target,Category: Constituent. Type: External. An individual who is the intended recipient of the message of a campaign.,Stakeholder,,,,,,,
,Candidate,"Category: Constituent, Human Resource. Type: External, Internal. An individual who has the potential to be an employee, or who applies or is nominated to be a recipient of an award or honor, a service, or an appointed role or position, or for an elected position.",Stakeholder,,,,,,,
,Case Worker,"Category: Human Resource. Type: Internal/External. An individual who has the responsibility to investigate, advocate for, advise, and represent the constituent who is the focus of the case.",Stakeholder,,,,,,,
,Channel Manager,"Category: Human Resource. Type: Internal/External. An individual who manages the operations, including the production and supply of a channel of distribution.",Stakeholder,,,,,,,
,Chief Data Officer,"Category: Human Resource. Type: Internal. An individual who has been appointed to strategically plan and enable the collection, storage, use, administration, validation, and protection of an organization's data in support of an organization's mission, goals, and objectives.",Stakeholder,,,,,,,
,Chief Executive Officer,"Category: Human Resource. Type: Internal. An individual who has been appointed or elected to make decisions affecting a organization as a whole, who represents the organization internally and externally, and oversees the operation of an organization, coordinating operating, marketing, financial, cultural, and legal strategies that support the organization's mission and vision.",Stakeholder,,,,,,,
,Chief Financial Officer,"Category: Human Resource. Type: Internal. An individual who has been appointed to plan, assess, and recommend action in support of an organization's financial status, projections, and fundamental solvency.",Stakeholder,,,,,,,
,Chief Information Officer,"Category: Human Resource. Type: Internal. An individual who has been appointed to help the organization achieve its strategic and operational goals with information and data technology, supporting the organization's key business capabilities.",Stakeholder,,,,,,,
,Chief Legislator,Category: Human Resource. Type: Internal/External. An individual who has the most senior authority and responsibility for a legislative body.,Stakeholder,,,,,,,
,Chief Operating Officer,"Category: Human Resource. Type: Internal. An individual who is part of the executive management team with the responsibility to create policy, organize, monitor, and assess the effectiveness of all activities related to the management of daily operations within the organization.",Stakeholder,,,,,,,
,Chief Risk Officer,"Category: Human Resource. Type: Internal. An individual who defines and assesses financial, reputational, legal, market, or other kinds of risk that the organization may undertake.",Stakeholder,,,,,,,
,Chief Technology Officer,Category: Human Resource. Type: Internal. An individual who has been appointed to support business capabilities by providing enabling technologies.,Stakeholder,,,,,,,
,Citizen,"Category: Constituent. Type: Internal/External. An individual who the government has granted the rights and privileges of citizenship, and has acknowledged their responsibilities of citizenship of the granting government.",Stakeholder,,,,,,,
,Claimant,Category: Constituent. Type: External. An individual who files a claim or formal request for payment to cover a specified loss.,Stakeholder,,,,,,,
,Claims Adjuster,Category: Human Resource. Type: Internal/External. An individual authorized to evaluate a claim to determine whether or not the claim should be paid.,Stakeholder,,,,,,,
,Claims Officer,"Category: Human Resource. Type: Internal/External. An individual who manages, defines, and assists with the resolution of claims.",Stakeholder,,,,,,,
,Community Representative,"Category: Human Resource. Type: Internal. An individual chosen to represent the interests of constituents, such as tenants in any aspect of the contracts process.",Stakeholder,,,,,,,
,Compliance Officer,Category: Human Resource. Type: Internal. An individual who ensures that a company complies with its outside regulatory and legal requirements and internal policies and bylaws.,Stakeholder,,,,,,,
,Constituent,Category: Constituent. Type: Internal. An individual or entity relative to an organization's sphere of responsibility.,Stakeholder,,,,,,,
,Contract Manager,"Category: Human Resource, Partner. Type: External, Internal. An individual responsible for responsible for the management and administration of contracts.",Stakeholder,,,,,,,
,Conveyor Operator,Category: Human Resource. Type: Internal/External. An individual who directs the movement of a transport conveyor.,Stakeholder,,,,,,,
,Coordinator,Category: Human Resource. Type: Internal. An individual whose primary responsibility is to assist disparate groups in collaborating in an organized way to achieve an expected objective.,Stakeholder,,,,,,,
,Court Officer,"Category: Human Resource. Type: Internal. An individual responsible for the effective operation of a court session, this person may administer oaths to witnesses, jurors, and grand jurors.",Stakeholder,,,,,,,
,Court Recorder,"Category: Human Resource. Type: Internal/External. An individual, usually appointed as an officer, tasked with recording, transcribing, and maintaining the official verbatim record of the legal proceedings of a court.",Stakeholder,,,,,,,
,Data Analyst,Category: Human Resource. Type: Internal/External. An individual who obtains and analyzes data for an organization in order to provide information and knowledge to assist with decision making.,Stakeholder,,,,,,,
,Debtor,Category: Constituent. Type: External. A person or organization that owes a sum of money to another person or organization.,Stakeholder,,,,,,,
,Defendant,Category: Constituent. Type: Internal. An individual or organization sued or accused in a court of law.,Stakeholder,,,,,,,
,Detective,Category: Human Resource. Type: Internal/External. An individual who typically works for a law enforcement agency leading the resolution of specific criminal cases pertaining to an individual or group of offenders.,Stakeholder,,,,,,,
,Detention Officer,"Category: Human Resource. Type: Internal/External. An individual empowered by a government authority who is responsible for the custody, supervision, safety, and regulation of detainees.",Stakeholder,,,,,,,
,Election Officer,"Category: Human Resource. Type: Internal. An individual who is directly accountable to the courts system as an independent statutory office holder for the good conduct, administration, and reporting the outcome of an election.",Stakeholder,,,,,,,
,Election Representative,"Category: Constituent. Type: External. An individual who is a paid or volunteer interested in the conduct and outcome of an election, as part of an organization or as an individual constituent.",Stakeholder,,,,,,,
,Emergency Services Provider,Category: Human Resource. Type: Internal/External. An individual or organization that provides rapid response and support services for the preservation of life and property under extreme conditions.,Stakeholder,,,,,,,
,Employee,Category: Human Resource. Type: Internal. An individual who performs services for the organization pursuant to an employment contract.,Stakeholder,,,,,,,
,Energy Producer,"Category: Partner. Type: External. A private or publicly owned organization having the primary objective of producing electricity via multiple means, such as by fossil fuels, photovoltaics, or wind.",Stakeholder,,,,,,,
,Energy System Operator,"Category: Partner. Type: External. A private or publicly owned energy-producing organization, whose primary objective is to manage energy-producing systems and dependencies.",Stakeholder,,,,,,,
,Examiner,Category: Human Resource. Type: Internal/External. An individual responsible for reviewing a patent application or claim of intellectual property to determine whether the intellectual property rights or patent can be granted.,Stakeholder,,,,,,,
,Executive Sponsor,"Category: Human Resource, Partner. Type: External, Internal. An individual who provides approval, permission, and guidance for a specified endeavor.",Stakeholder,,,,,,,
,Facilitator,"Category: Human Resource, Partner. Type: External, Internal. An individual who helps enable groups during the course of an event to achieve specific objectives.",Stakeholder,,,,,,,
,Facility Specialist,"Category: Human Resource, Partner. Type: External, Internal. An individual who identifies, oversees, and provides support for matters specific to the operation or oversight of a venue or location.",Stakeholder,,,,,,,
,Federal Government Authority,"Category: Human Resource. Type: Internal. An organized, national administrative body, authorized in national constitutions and statutes, established to provide general government for a nation, generally corresponding to all areas into which a county is composed.",Stakeholder,,,,,,,
,Finance Manager,"Category: Human Resource, Partner. Type: External, Internal. An individual who administers a finance business unit and has a delegated authority to approve financial transactions to a specified limit.",Stakeholder,,,,,,,
,Finance Officer,Category: Human Resource. Type: Internal. An individual who ensures that the financial records of the organization are balanced and reported upon.,Stakeholder,,,,,,,
,Financial Analyst,"Category: Human Resource, Partner. Type: External, Internal. An individual who performs calculations on and evaluates the organization's monetary facts.",Stakeholder,,,,,,,
,Financial Controller,"Category: Human Resource, Partner. Type: External, Internal. An individual who is responsible for accounting activities and overseeing financial reporting, including balance sheets and revenue models.",Stakeholder,,,,,,,
,Financial Planner,"Category: Human Resource, Partner. Type: External, Internal. An individual who is a qualified investment professional who provides a service to help individuals and corporations meet their long-term financial objectives by analyzing the client’s status and setting a program to achieve that client’s goals.",Stakeholder,,,,,,,
,Government Agency,"Category: Human Resource. Type: Internal. An organization of federal or municipal government, which is a permanent or semi-permanent organization in the machinery of government, that is responsible for the oversight and administration of specific functions.",Stakeholder,,,,,,,
,Government Agency Head,"Category: Human Resource. Type: Internal. An individual assigned or appointed to oversee and guide the management of a government entity in the achievement of its mission and vision. The role can include governance of fiduciary, operational, financial, cultural, legal, and communications strategies.",Stakeholder,,,,,,,
,Government Agent,Category: Human Resource. Type: Internal. An individual who represents an administrative department of a municipal or national government entity.,Stakeholder,,,,,,,
,Government Immigration Agent,Category: Human Resource. Type: Internal. An individual who is responsible for the enforcement of immigration laws.,Stakeholder,,,,,,,
,Government Prosecutor,Category: Human Resource. Type: Internal. The legal party responsible for presenting the case in a criminal trial against the accused party.,Stakeholder,,,,,,,
,Government Service Manager,Category: Human Resource. Type: Internal. An individual who has responsibility for the operation or executive of a government service.,Stakeholder,,,,,,,
,Guardian,Category: Constituent. Type: Internal. A court appointed or otherwise recognized as acting as the responsible party for a person.,Stakeholder,,,,,,,
,Hiring Manager,Category: Human Resource. Type: Internal/External. An individual responsible for hiring an employee or employees to fill open positions in an organization.,Stakeholder,,,,,,,
,Human Resource,Category: Human Resource. Type: Internal/External. An individual who is employed by the organization.,Stakeholder,,,,,,,
,Human Resource Analyst,"Category: Human Resource, Partner. Type: External, Internal. An individual who identifies and assesses the current and future needs of the organization for individuals to perform work.",Stakeholder,,,,,,,
,Information Aggregator,Category: Partner. Type: External. An organization that aggregates information from different sources and presents it as a value-add service.,Stakeholder,,,,,,,
,Infrastructure Contractor,Category: Partner. Type: External. An individual or organization who builds or maintains physical infrastructure.,Stakeholder,,,,,,,
,Insured,Category: Constituent. Type: Internal. An individual or organization covered by insurance.,Stakeholder,,,,,,,
,Investigator,"Category: Human Resource, Partner. Type: External, Internal. An individual who gathers, collates and analyzes data and information to answer a specific intelligence requirement in a range of thematical criminal or civil cases, such as fraud, missing persons, malpractice, and regulatory compliance.",Stakeholder,,,,,,,
,Investment Committee,"Category: Human Resource, Partner. Type: External, Internal. An organization responsible for identifying, communicating with, evaluating, and contracting with investors.",Stakeholder,,,,,,,
,Investment Manager,"Category: Human Resource. Type: Internal/External. An individual responsible for the activities related to financial planning, investing, and managing a portfolio for individuals or organizations.",Stakeholder,,,,,,,
,Investor,Category: Human Resource. Type: Internal/External. An individual or organization that provides capital to a business in exchange for equity or debt.,Stakeholder,,,,,,,
,Issuer,"Category: Human Resource. Type: Internal/External. An individual or organization empowered to provide an official document, record, title or other form of official designation of right or authority.",Stakeholder,,,,,,,
,Judge,Category: Human Resource. Type: External. An individual appointment as a public official with authorization to preside over cases in a court of law.,Stakeholder,,,,,,,
,Juror,"Category: Constituent. Type: External. An individual member of a jury, a sworn body of people, convened to render an impartial verdict, and set a penalty or judgment.",Stakeholder,,,,,,,
,Land Government Agency,"Category: Human Resource. Type: Internal. An organization responsible for the inventory of land and resources in its jurisdiction, also responsible for developing land-use plans for its land units.",Stakeholder,,,,,,,
,Landlord,Category: Constituent. Type: External. An individual or organization that owns a building or an area of land and is paid by a constituent for the use of it.,Stakeholder,,,,,,,
,Landlord Representative,"Category: Human Resource. Type: External. An individual or organization that represents the rights, commitment, contracts and interests of a property owner.",Stakeholder,,,,,,,
,Landowner,"Category: Constituent. Type: External. An individual or organization that has a registered, legal deed to a piece of land, and in some cases the rights to use and exploit the land for a defined, legal purpose.",Stakeholder,,,,,,,
,Legal Counsel,"Category: Human Resource, Partner. Type: External, Internal. An individual who oversees, identifies, and advises on legal issues in all departments and their interrelation.",Stakeholder,,,,,,,
,Legal Representative,"Category: Human Resource. Type: Internal/External. An individual empowered with the authority recognized by law, to act for another person or organization in medical or legal matters, including but not limited to, a receiver, guardian, custodian, conservator.",Stakeholder,,,,,,,
,Legislative Assistant,"Category: Human Resource. Type: Internal/External. An individual who supports a legislator by monitoring pending legislation, conducting research related to the legislation, and drafting that legislation.",Stakeholder,,,,,,,
,Legislator,Category: Human Resource. Type: Internal. A member of an elected group of people who have been granted the power to make or change laws.,Stakeholder,,,,,,,
,Lobbyist,Category: Human Resource. Type: External. An individual who is registered or certified to participate in an organized attempt to influence a legislator.,Stakeholder,,,,,,,
,Manager,Category: Human Resource. Type: Internal/External. An individual who oversees the work for an organizational unit.,Stakeholder,,,,,,,
,Market Maker,Category: Human Resource. Type: Internal/External. An individual or firm who actively quotes both sides of a market in a particular security by providing bids and offers (known as asks).,Stakeholder,,,,,,,
,Marketing Manager,Category: Human Resource. Type: Internal/External. An individual whose primary task is to manage the marketing resources of a product or business.,Stakeholder,,,,,,,
,Material Manager,"Category: Human Resource. Type: Internal/External. An individual who oversees inventory and supplies, manages vendor relationships, assesses supply needs, coordinates delivery schedules, signs purchase orders, and tracks the flow of inventory through the organization's supply chain.",Stakeholder,,,,,,,
,Mediator,Category: Human Resource. Type: Internal/External. An individual who attempts to bring people or organizations involved in a conflict to come to an agreement.,Stakeholder,,,,,,,
,Mentor,"Category: Human Resource. Type: Internal/External. An individual who provides ongoing assistance, training, and instruction to employees.",Stakeholder,,,,,,,
,Migrant,"Category: Constituent. Type: External. An individual who is residing, temporarily or permanently, in a nation of which they do not hold citizenship.",Stakeholder,,,,,,,
,Municipal Government Agency,"Category: Human Resource. Type: Internal. An organized, local administrative government body which provides a sub-set of government services for a defined area within a country.",Stakeholder,,,,,,,
,Municipal Government Representative,Category: Human Resource. Type: Internal. An individual elected to a municipal government governing body with authority to make decisions and recommendations on behalf of their electorate.,Stakeholder,,,,,,,
,Network Designer,Category: Human Resource. Type: Internal/External. An individual who designs new or upgraded network infrastructure.,Stakeholder,,,,,,,
